index,type,sourceName,sourceVersion,unit,creationDate,datetime,endDate,hr,device
132,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
133,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
134,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
135,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
136,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
137,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
138,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
139,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
140,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
141,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
142,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
143,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
144,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
145,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
146,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
147,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,129.0,
148,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,56.0,
149,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,95.0,
150,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
151,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
152,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,122.0,
153,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,125.0,
154,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
155,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
156,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
157,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
